,load_id,customer_id,route_id,load_date,load_type,weight_lbs,pieces,revenue,fuel_surcharge,accessorial_charges,load_status,booking_type
56688,LOAD00056689,CUST00092,RTE00011,2025-12-31,Refrigerated,14047,14,823.66,131.28,200,Completed,Dedicated
56689,LOAD00056690,CUST00051,RTE00040,2025-12-31,Refrigerated,24551,2,3650.01,524.7,0,Completed,Dedicated
56690,LOAD00056691,CUST00136,RTE00056,2025-12-31,Refrigerated,39596,14,4320.23,309.24,75,Completed,Dedicated
56691,LOAD00056692,CUST00046,RTE00007,2025-12-31,Refrigerated,33729,22,4024.86,504.32,0,Completed,Spot
56692,LOAD00056693,CUST00073,RTE00055,2025-12-31,Refrigerated,38061,8,3670.37,357.25,0,Completed,Contract
56694,LOAD00056695,CUST00042,RTE00056,2025-12-31,Refrigerated,19513,21,3943.4,309.24,150,Completed,Contract
56695,LOAD00056696,CUST00012,RTE00043,2025-12-31,Dry Van,30749,11,2759.7,249.44,200,Completed,Spot
56696,LOAD00056697,CUST00145,RTE00020,2025-12-31,Dry Van,38822,5,3883.54,738.48,100,Completed,Dedicated
56697,LOAD00056698,CUST00139,RTE00045,2025-12-31,Dry Van,17732,16,1237.26,137.31,50,Completed,Dedicated
56698,LOAD00056699,CUST00157,RTE00030,2025-12-31,Dry Van,39223,13,4637.46,708.51,50,Completed,Contract
56699,LOAD00056700,CUST00117,RTE00043,2025-12-31,Dry Van,43591,25,2464.75,249.44,0,Completed,Spot
56701,LOAD00056702,CUST00094,RTE00042,2025-12-31,Refrigerated,16826,10,6320.88,472.14,100,Completed,Dedicated
56703,LOAD00056704,CUST00161,RTE00016,2025-12-31,Dry Van,22460,12,6954.36,463.93,100,Completed,Dedicated
56705,LOAD00056706,CUST00078,RTE00040,2025-12-31,Refrigerated,13929,22,4497.23,524.7,0,Completed,Spot
56707,LOAD00056708,CUST00172,RTE00029,2025-12-31,Refrigerated,13068,13,6168.02,891.82,200,Completed,Dedicated
56708,LOAD00056709,CUST00037,RTE00048,2025-12-31,Dry Van,41725,2,6979.34,792.88,0,Completed,Dedicated
56709,LOAD00056710,CUST00083,RTE00035,2025-12-31,Dry Van,41050,14,2365.52,344.12,150,Completed,Dedicated
56710,LOAD00056711,CUST00117,RTE00035,2025-12-31,Dry Van,33665,11,2034.24,344.12,50,Completed,Dedicated
56711,LOAD00056712,CUST00097,RTE00051,2025-12-31,Refrigerated,12620,20,2926.15,460.0,200,Completed,Dedicated
56712,LOAD00056713,CUST00175,RTE00008,2025-12-31,Refrigerated,36908,17,2068.21,114.3,200,Completed,Dedicated
56713,LOAD00056714,CUST00027,RTE00048,2025-12-31,Dry Van,28978,10,6630.81,792.88,75,Completed,Spot
56714,LOAD00056715,CUST00089,RTE00024,2025-12-31,Refrigerated,41123,16,2673.23,376.0,0,Completed,Spot
56716,LOAD00056717,CUST00026,RTE00035,2025-12-31,Dry Van,19478,25,1896.08,344.12,50,Completed,Dedicated
56717,LOAD00056718,CUST00061,RTE00027,2025-12-31,Refrigerated,32918,27,2718.73,419.43,75,Completed,Dedicated
56718,LOAD00056719,CUST00050,RTE00006,2025-12-31,Refrigerated,40215,11,1424.6,189.0,75,Completed,Dedicated
56719,LOAD00056720,CUST00158,RTE00002,2025-12-31,Refrigerated,43572,2,1641.67,153.34,0,Completed,Spot
56721,LOAD00056722,CUST00055,RTE00005,2025-12-31,Refrigerated,27771,23,4132.72,454.74,50,Completed,Contract
56722,LOAD00056723,CUST00134,RTE00034,2025-12-31,Refrigerated,33336,12,5077.33,792.88,100,Completed,Contract
56724,LOAD00056725,CUST00197,RTE00016,2025-12-31,Refrigerated,22697,18,7766.95,463.93,50,Completed,Spot
56726,LOAD00056727,CUST00104,RTE00004,2025-12-31,Dry Van,23053,5,3445.33,383.23,75,Completed,Dedicated
56729,LOAD00056730,CUST00093,RTE00007,2025-12-31,Dry Van,42802,25,3473.35,504.32,150,Completed,Dedicated
56730,LOAD00056731,CUST00081,RTE00053,2025-12-31,Dry Van,26497,25,1765.47,209.79,150,Completed,Dedicated
56731,LOAD00056732,CUST00018,RTE00019,2025-12-31,Dry Van,30662,6,2699.08,406.72,50,Completed,Dedicated
56732,LOAD00056733,CUST00160,RTE00008,2025-12-31,Refrigerated,35341,24,1744.32,114.3,0,Completed,Dedicated
56733,LOAD00056734,CUST00002,RTE00023,2025-12-31,Dry Van,38644,23,3229.25,216.92,0,Completed,Contract
56734,LOAD00056735,CUST00076,RTE00003,2025-12-31,Dry Van,39695,2,4994.99,580.87,100,Completed,Spot
56735,LOAD00056736,CUST00113,RTE00054,2025-12-31,Dry Van,39228,15,3526.01,295.83,0,Completed,Dedicated
56736,LOAD00056737,CUST00191,RTE00034,2025-12-31,Dry Van,40455,12,4586.62,792.88,0,Completed,Contract
56738,LOAD00056739,CUST00042,RTE00039,2025-12-31,Refrigerated,33949,15,2423.03,344.52,150,Completed,Spot
56739,LOAD00056740,CUST00069,RTE00046,2025-12-31,Dry Van,15474,17,5439.79,499.18,0,Completed,Dedicated
56740,LOAD00056741,CUST00169,RTE00012,2025-12-31,Refrigerated,23696,5,5668.8,453.91,0,Completed,Spot
56741,LOAD00056742,CUST00140,RTE00037,2025-12-31,Dry Van,40676,27,4129.79,537.81,75,Completed,Contract
56742,LOAD00056743,CUST00089,RTE00034,2025-12-31,Dry Van,42264,14,4530.94,792.88,50,Completed,Dedicated
56745,LOAD00056746,CUST00075,RTE00017,2025-12-31,Refrigerated,31478,3,2235.27,384.2,0,Completed,Contract
56746,LOAD00056747,CUST00030,RTE00014,2025-12-31,Refrigerated,10918,18,2788.6,228.76,50,Completed,Spot
56747,LOAD00056748,CUST00147,RTE00009,2025-12-31,Dry Van,42985,17,1668.53,149.26,150,Completed,Dedicated
56749,LOAD00056750,CUST00101,RTE00042,2025-12-31,Dry Van,32535,17,6930.71,472.14,50,Completed,Contract
56750,LOAD00056751,CUST00012,RTE00048,2025-12-31,Refrigerated,42575,21,7001.24,792.88,200,Completed,Dedicated
56751,LOAD00056752,CUST00004,RTE00003,2025-12-31,Refrigerated,13318,27,5833.56,580.87,50,Completed,Dedicated
56754,LOAD00056755,CUST00193,RTE00007,2026-01-01,Refrigerated,25517,4,3573.43,504.32,50,Completed,Contract
56755,LOAD00056756,CUST00070,RTE00030,2026-01-01,Refrigerated,11071,7,4760.86,708.51,100,Completed,Spot
56756,LOAD00056757,CUST00121,RTE00048,2026-01-01,Dry Van,10115,13,6000.62,792.88,150,Completed,Dedicated
56757,LOAD00056758,CUST00043,RTE00006,2026-01-01,Dry Van,43511,13,1304.85,189.0,0,Completed,Dedicated
56758,LOAD00056759,CUST00026,RTE00041,2026-01-01,Dry Van,20861,22,3185.68,255.36,75,Completed,Dedicated
56759,LOAD00056760,CUST00062,RTE00001,2026-01-01,Refrigerated,12409,2,1296.14,128.63,0,Completed,Spot
56760,LOAD00056761,CUST00172,RTE00045,2026-01-01,Dry Van,30075,14,1547.16,137.31,50,Completed,Dedicated
56761,LOAD00056762,CUST00024,RTE00027,2026-01-01,Refrigerated,21567,7,2776.36,419.43,0,Completed,Dedicated
56762,LOAD00056763,CUST00089,RTE00037,2026-01-01,Refrigerated,27706,8,3722.94,537.81,150,Completed,Contract
56763,LOAD00056764,CUST00083,RTE00039,2026-01-01,Refrigerated,33314,9,2041.73,344.52,100,Completed,Dedicated
56764,LOAD00056765,CUST00066,RTE00031,2026-01-01,Dry Van,38268,8,1243.25,185.6,50,Completed,Spot
56765,LOAD00056766,CUST00028,RTE00030,2026-01-01,Dry Van,30643,26,5607.01,708.51,100,Completed,Dedicated
56766,LOAD00056767,CUST00105,RTE00010,2026-01-01,Dry Van,44565,9,163.08,15.64,50,Completed,Contract
56767,LOAD00056768,CUST00145,RTE00025,2026-01-01,Refrigerated,18344,2,4490.08,565.38,200,Completed,Spot
56768,LOAD00056769,CUST00105,RTE00054,2026-01-01,Refrigerated,16158,13,3477.65,295.83,0,Completed,Dedicated
56769,LOAD00056770,CUST00151,RTE00042,2026-01-01,Refrigerated,42662,11,5390.34,472.14,75,Completed,Dedicated
56770,LOAD00056771,CUST00065,RTE00057,2026-01-01,Dry Van,44759,15,2290.98,276.3,0,Completed,Dedicated
56771,LOAD00056772,CUST00117,RTE00028,2026-01-01,Dry Van,11988,4,3668.42,564.72,0,Completed,Contract
56772,LOAD00056773,CUST00117,RTE00046,2026-01-01,Refrigerated,21093,23,5981.27,499.18,50,Completed,Contract
56773,LOAD00056774,CUST00192,RTE00057,2026-01-01,Refrigerated,30373,11,2510.22,276.3,50,Completed,Dedicated
56774,LOAD00056775,CUST00073,RTE00044,2026-01-01,Refrigerated,19423,2,7984.2,814.37,75,Completed,Spot
56775,LOAD00056776,CUST00061,RTE00008,2026-01-01,Refrigerated,26076,19,2026.87,114.3,200,Completed,Contract
56776,LOAD00056777,CUST00084,RTE00016,2026-01-01,Refrigerated,10709,14,5916.86,463.93,50,Completed,Spot
56777,LOAD00056778,CUST00200,RTE00029,2026-01-01,Refrigerated,28731,14,6548.64,891.82,150,Completed,Dedicated
56778,LOAD00056779,CUST00191,RTE00041,2026-01-01,Refrigerated,22835,2,3173.46,255.36,0,Completed,Dedicated
56779,LOAD00056780,CUST00109,RTE00024,2026-01-01,Dry Van,14780,19,2843.37,376.0,0,Completed,Dedicated
56780,LOAD00056781,CUST00050,RTE00040,2026-01-01,Dry Van,28117,6,3898.53,524.7,75,Completed,Contract
56781,LOAD00056782,CUST00018,RTE00037,2026-01-01,Dry Van,27065,22,3615.88,537.81,50,Completed,Contract
56782,LOAD00056783,CUST00104,RTE00032,2026-01-01,Dry Van,28435,3,3880.99,451.8,0,Completed,Spot
56783,LOAD00056784,CUST00185,RTE00056,2026-01-01,Dry Van,39183,5,4861.92,309.24,150,Completed,Dedicated
56784,LOAD00056785,CUST00119,RTE00019,2026-01-01,Dry Van,23513,8,2607.47,406.72,200,Completed,Dedicated
56785,LOAD00056786,CUST00173,RTE00055,2026-01-01,Dry Van,18069,19,3308.44,357.25,0,Completed,Dedicated
56786,LOAD00056787,CUST00041,RTE00019,2026-01-01,Refrigerated,40044,11,3238.66,406.72,50,Completed,Spot
56787,LOAD00056788,CUST00189,RTE00030,2026-01-01,Dry Van,13827,22,5952.46,708.51,100,Completed,Dedicated
56788,LOAD00056789,CUST00054,RTE00023,2026-01-01,Dry Van,28536,25,3001.91,216.92,150,Completed,Contract
56789,LOAD00056790,CUST00163,RTE00051,2026-01-01,Refrigerated,43593,17,3559.3,460.0,200,Completed,Dedicated
56790,LOAD00056791,CUST00173,RTE00052,2026-01-01,Dry Van,30944,13,1241.1,273.36,100,Completed,Dedicated
56791,LOAD00056792,CUST00187,RTE00030,2026-01-01,Dry Van,19332,22,4954.91,708.51,0,Completed,Dedicated
56792,LOAD00056793,CUST00044,RTE00002,2026-01-01,Refrigerated,11456,24,1519.84,153.34,200,Completed,Contract
56793,LOAD00056794,CUST00093,RTE00038,2026-01-01,Refrigerated,28069,17,3437.84,314.64,100,Completed,Dedicated
56794,LOAD00056795,CUST00163,RTE00010,2026-01-01,Refrigerated,19339,12,152.02,15.64,0,Completed,Spot
56795,LOAD00056796,CUST00084,RTE00058,2026-01-01,Dry Van,16359,14,1334.19,98.61,50,Completed,Dedicated
56796,LOAD00056797,CUST00057,RTE00050,2026-01-01,Refrigerated,15728,27,1433.84,170.88,75,Completed,Spot
56797,LOAD00056798,CUST00119,RTE00039,2026-01-01,Refrigerated,41147,18,2067.1,344.52,200,Completed,Dedicated
56798,LOAD00056799,CUST00120,RTE00020,2026-01-01,Dry Van,11840,15,3589.75,738.48,0,Completed,Spot
56799,LOAD00056800,CUST00005,RTE00035,2026-01-01,Refrigerated,41455,3,2300.42,344.12,0,Completed,Contract
56800,LOAD00056801,CUST00068,RTE00026,2026-01-01,Refrigerated,42422,21,3701.6,555.52,0,Completed,Dedicated
56801,LOAD00056802,CUST00010,RTE00041,2026-01-01,Refrigerated,21941,24,3725.17,255.36,75,Completed,Dedicated
56802,LOAD00056803,CUST00109,RTE00017,2026-01-01,Refrigerated,39719,18,2169.92,384.2,100,Completed,Dedicated
56803,LOAD00056804,CUST00090,RTE00003,2026-01-01,Refrigerated,34918,27,4402.23,580.87,200,Completed,Dedicated
56804,LOAD00056805,CUST00103,RTE00003,2026-01-01,Refrigerated,43513,12,5618.22,580.87,0,Completed,Spot
56805,LOAD00056806,CUST00177,RTE00054,2026-01-01,Refrigerated,39064,24,3068.34,295.83,50,Completed,Dedicated
56806,LOAD00056807,CUST00156,RTE00054,2026-01-01,Refrigerated,29041,9,3587.68,295.83,0,Completed,Spot
56807,LOAD00056808,CUST00187,RTE00022,2026-01-01,Dry Van,17715,5,1056.77,161.53,200,Completed,Spot
56808,LOAD00056809,CUST00126,RTE00008,2026-01-01,Dry Van,40493,4,1900.55,114.3,0,Completed,Dedicated
56809,LOAD00056810,CUST00019,RTE00014,2026-01-01,Dry Van,43228,7,2623.27,228.76,75,Completed,Dedicated
56810,LOAD00056811,CUST00073,RTE00051,2026-01-01,Dry Van,33188,23,3661.4,460.0,0,Completed,Spot
56811,LOAD00056812,CUST00059,RTE00057,2026-01-01,Dry Van,18342,6,2401.66,276.3,150,Completed,Dedicated
56812,LOAD00056813,CUST00138,RTE00057,2026-01-01,Dry Van,33084,4,2144.65,276.3,0,Completed,Spot
56813,LOAD00056814,CUST00053,RTE00006,2026-01-01,Refrigerated,21963,7,1333.88,189.0,0,Completed,Contract
56814,LOAD00056815,CUST00100,RTE00013,2026-01-01,Refrigerated,21842,25,1016.2,141.33,0,Completed,Spot
56815,LOAD00056816,CUST00087,RTE00032,2026-01-01,Dry Van,34475,23,5155.63,451.8,0,Completed,Spot
56816,LOAD00056817,CUST00015,RTE00008,2026-01-01,Refrigerated,22866,3,2047.99,114.3,100,Completed,Contract
56817,LOAD00056818,CUST00193,RTE00042,2026-01-01,Dry Van,27733,17,6522.44,472.14,0,Completed,Contract
56818,LOAD00056819,CUST00128,RTE00034,2026-01-01,Dry Van,40674,21,5186.57,792.88,150,Completed,Dedicated
56819,LOAD00056820,CUST00151,RTE00012,2026-01-01,Refrigerated,17519,14,7234.47,453.91,50,Completed,Dedicated
56820,LOAD00056821,CUST00186,RTE00050,2026-01-01,Dry Van,30859,4,1177.23,170.88,75,Completed,Dedicated
56821,LOAD00056822,CUST00045,RTE00040,2026-01-01,Dry Van,20727,17,4478.98,524.7,0,Completed,Spot
56822,LOAD00056823,CUST00032,RTE00003,2026-01-01,Refrigerated,38314,23,5380.51,580.87,200,Completed,Dedicated
56823,LOAD00056824,CUST00034,RTE00020,2026-01-01,Dry Van,18334,14,3589.13,738.48,0,Completed,Contract
56824,LOAD00056825,CUST00049,RTE00040,2026-01-01,Refrigerated,27976,7,3964.84,524.7,200,Completed,Contract
56825,LOAD00056826,CUST00086,RTE00045,2026-01-01,Dry Van,26185,18,1305.3,137.31,50,Completed,Dedicated
56826,LOAD00056827,CUST00112,RTE00033,2026-01-01,Dry Van,18846,13,447.86,40.08,50,Completed,Dedicated
56827,LOAD00056828,CUST00047,RTE00002,2026-01-01,Dry Van,24512,18,1295.93,153.34,0,Completed,Dedicated
56828,LOAD00056829,CUST00077,RTE00031,2026-01-02,Refrigerated,15835,16,1586.64,185.6,0,Completed,Spot
56829,LOAD00056830,CUST00020,RTE00007,2026-01-02,Dry Van,31920,18,3927.89,504.32,0,Completed,Dedicated
56830,LOAD00056831,CUST00007,RTE00018,2026-01-02,Dry Van,12579,25,1221.57,187.6,0,Completed,Contract
56831,LOAD00056832,CUST00191,RTE00008,2026-01-02,Refrigerated,12108,27,1988.17,114.3,75,Completed,Dedicated
56832,LOAD00056833,CUST00143,RTE00019,2026-01-02,Refrigerated,32264,17,3139.36,406.72,150,Completed,Dedicated
56833,LOAD00056834,CUST00037,RTE00058,2026-01-02,Refrigerated,12528,2,1111.84,98.61,0,Completed,Contract
56834,LOAD00056835,CUST00138,RTE00042,2026-01-02,Dry Van,38878,1,6380.52,472.14,0,Completed,Spot
56835,LOAD00056836,CUST00124,RTE00037,2026-01-02,Dry Van,27892,26,4442.88,537.81,75,Completed,Contract
56836,LOAD00056837,CUST00090,RTE00019,2026-01-02,Dry Van,24511,16,2685.72,406.72,100,Completed,Dedicated
56837,LOAD00056838,CUST00100,RTE00049,2026-01-02,Dry Van,38972,20,1841.74,144.0,0,Completed,Spot
56838,LOAD00056839,CUST00108,RTE00055,2026-01-02,Refrigerated,29861,4,3806.36,357.25,75,Completed,Spot
56839,LOAD00056840,CUST00101,RTE00048,2026-01-02,Dry Van,10227,7,6863.08,792.88,100,Completed,Dedicated
56840,LOAD00056841,CUST00073,RTE00036,2026-01-02,Refrigerated,12112,18,703.27,86.46,0,Completed,Dedicated
56841,LOAD00056842,CUST00129,RTE00019,2026-01-02,Dry Van,25520,2,2890.07,406.72,75,Completed,Dedicated
56842,LOAD00056843,CUST00016,RTE00029,2026-01-02,Dry Van,17271,22,5728.47,891.82,0,Completed,Dedicated
56843,LOAD00056844,CUST00061,RTE00052,2026-01-02,Refrigerated,37800,20,1309.01,273.36,0,Completed,Contract
56844,LOAD00056845,CUST00127,RTE00055,2026-01-02,Dry Van,32927,13,3415.76,357.25,50,Completed,Dedicated
56845,LOAD00056846,CUST00052,RTE00040,2026-01-02,Refrigerated,18065,25,4715.2,524.7,50,Completed,Spot
56846,LOAD00056847,CUST00081,RTE00033,2026-01-02,Refrigerated,15526,11,362.53,40.08,50,Completed,Spot
56847,LOAD00056848,CUST00170,RTE00001,2026-01-02,Dry Van,34773,8,1053.94,128.63,150,Completed,Contract
56848,LOAD00056849,CUST00069,RTE00019,2026-01-02,Dry Van,40848,1,3166.51,406.72,150,Completed,Spot
56849,LOAD00056850,CUST00077,RTE00044,2026-01-02,Refrigerated,30573,23,7783.53,814.37,0,Completed,Dedicated
56850,LOAD00056851,CUST00030,RTE00034,2026-01-02,Refrigerated,14314,24,5001.44,792.88,50,Completed,Contract
56851,LOAD00056852,CUST00175,RTE00031,2026-01-02,Refrigerated,41691,26,1424.87,185.6,0,Completed,Contract
56852,LOAD00056853,CUST00186,RTE00024,2026-01-02,Dry Van,18216,2,3280.91,376.0,50,Completed,Dedicated
56853,LOAD00056854,CUST00104,RTE00001,2026-01-02,Refrigerated,25427,18,1138.03,128.63,150,Completed,Contract
56854,LOAD00056855,CUST00146,RTE00023,2026-01-02,Dry Van,15949,28,2664.58,216.92,75,Completed,Dedicated
56855,LOAD00056856,CUST00012,RTE00007,2026-01-02,Dry Van,31572,17,4037.78,504.32,150,Completed,Spot
56856,LOAD00056857,CUST00111,RTE00014,2026-01-02,Dry Van,37437,5,2741.11,228.76,75,Completed,Contract
56857,LOAD00056858,CUST00107,RTE00058,2026-01-02,Dry Van,28367,11,1264.0,98.61,100,Completed,Contract
56858,LOAD00056859,CUST00163,RTE00043,2026-01-02,Dry Van,10890,8,2305.82,249.44,0,Completed,Dedicated
56859,LOAD00056860,CUST00193,RTE00037,2026-01-02,Dry Van,38694,18,4281.72,537.81,100,Completed,Contract
56860,LOAD00056861,CUST00040,RTE00021,2026-01-02,Refrigerated,15799,11,5239.34,590.24,200,Completed,Dedicated
56861,LOAD00056862,CUST00174,RTE00036,2026-01-02,Refrigerated,22568,1,639.51,86.46,75,Completed,Dedicated
56862,LOAD00056863,CUST00066,RTE00003,2026-01-02,Refrigerated,12889,11,4929.55,580.87,150,Completed,Contract
56863,LOAD00056864,CUST00020,RTE00020,2026-01-02,Refrigerated,17229,11,3502.2,738.48,75,Completed,Spot
56864,LOAD00056865,CUST00109,RTE00016,2026-01-02,Dry Van,39011,6,7171.14,463.93,0,Completed,Dedicated
56865,LOAD00056866,CUST00009,RTE00027,2026-01-02,Dry Van,17082,2,2321.08,419.43,0,Completed,Dedicated
56866,LOAD00056867,CUST00100,RTE00011,2026-01-02,Refrigerated,41289,1,1050.36,131.28,0,Completed,Dedicated
56867,LOAD00056868,CUST00033,RTE00037,2026-01-02,Dry Van,38347,6,3371.04,537.81,50,Completed,Contract
56868,LOAD00056869,CUST00137,RTE00005,2026-01-02,Dry Van,22358,16,4365.29,454.74,0,Completed,Dedicated
56869,LOAD00056870,CUST00121,RTE00002,2026-01-02,Refrigerated,40423,8,1540.17,153.34,200,Completed,Dedicated
56870,LOAD00056871,CUST00087,RTE00037,2026-01-02,Dry Van,34302,27,3648.56,537.81,0,Completed,Dedicated
56871,LOAD00056872,CUST00129,RTE00014,2026-01-02,Dry Van,28199,12,2386.84,228.76,50,Completed,Dedicated
56872,LOAD00056873,CUST00020,RTE00034,2026-01-02,Refrigerated,41950,22,5317.27,792.88,0,Completed,Spot
56873,LOAD00056874,CUST00103,RTE00053,2026-01-02,Dry Van,35499,24,2058.52,209.79,0,Completed,Contract
56874,LOAD00056875,CUST00030,RTE00019,2026-01-02,Dry Van,23708,19,3031.07,406.72,150,Completed,Contract
56875,LOAD00056876,CUST00036,RTE00057,2026-01-02,Dry Van,19597,14,2449.68,276.3,150,Completed,Spot
56876,LOAD00056877,CUST00050,RTE00023,2026-01-02,Dry Van,34244,26,3393.63,216.92,75,Completed,Dedicated
56877,LOAD00056878,CUST00012,RTE00045,2026-01-02,Refrigerated,36152,9,1184.53,137.31,0,Completed,Dedicated
56878,LOAD00056879,CUST00104,RTE00010,2026-01-02,Refrigerated,23834,8,163.45,15.64,50,Completed,Spot
56879,LOAD00056880,CUST00062,RTE00001,2026-01-02,Refrigerated,22247,5,1119.37,128.63,50,Completed,Spot
56880,LOAD00056881,CUST00141,RTE00020,2026-01-02,Dry Van,38790,24,3774.87,738.48,0,Completed,Dedicated
56881,LOAD00056882,CUST00037,RTE00013,2026-01-02,Dry Van,40966,22,1013.47,141.33,200,Completed,Spot
56882,LOAD00056883,CUST00100,RTE00004,2026-01-02,Refrigerated,26103,16,4053.47,383.23,150,Completed,Dedicated
56883,LOAD00056884,CUST00028,RTE00043,2026-01-02,Dry Van,41781,20,2271.44,249.44,0,Completed,Dedicated
56884,LOAD00056885,CUST00055,RTE00005,2026-01-02,Refrigerated,19172,27,4028.2,454.74,150,Completed,Dedicated
56885,LOAD00056886,CUST00059,RTE00006,2026-01-02,Refrigerated,10898,10,1621.46,189.0,0,Completed,Spot
56886,LOAD00056887,CUST00127,RTE00024,2026-01-02,Dry Van,22250,10,3290.88,376.0,0,Completed,Dedicated
56887,LOAD00056888,CUST00132,RTE00051,2026-01-02,Refrigerated,20743,26,3682.13,460.0,0,Completed,Dedicated
56888,LOAD00056889,CUST00110,RTE00012,2026-01-02,Dry Van,19732,6,6493.84,453.91,50,Completed,Dedicated
56889,LOAD00056890,CUST00184,RTE00032,2026-01-02,Refrigerated,36011,19,4955.53,451.8,0,Completed,Dedicated
56890,LOAD00056891,CUST00183,RTE00025,2026-01-02,Refrigerated,43477,22,5058.03,565.38,150,Completed,Dedicated
56891,LOAD00056892,CUST00196,RTE00040,2026-01-02,Dry Van,34694,18,3903.67,524.7,150,Completed,Spot
56892,LOAD00056893,CUST00111,RTE00054,2026-01-02,Dry Van,20950,4,3365.33,295.83,0,Completed,Spot
56893,LOAD00056894,CUST00056,RTE00018,2026-01-02,Dry Van,44280,10,1431.6,187.6,0,Completed,Dedicated
56894,LOAD00056895,CUST00113,RTE00027,2026-01-02,Dry Van,30147,6,2699.54,419.43,100,Completed,Spot
56895,LOAD00056896,CUST00143,RTE00036,2026-01-02,Refrigerated,12811,26,689.74,86.46,75,Completed,Dedicated
56896,LOAD00056897,CUST00124,RTE00039,2026-01-02,Dry Van,36836,8,2143.74,344.52,200,Completed,Contract
56897,LOAD00056898,CUST00159,RTE00022,2026-01-02,Dry Van,25087,14,930.75,161.53,0,Completed,Spot
56898,LOAD00056899,CUST00104,RTE00022,2026-01-02,Dry Van,42544,4,975.56,161.53,75,Completed,Dedicated
